Title,People_Review,Selling_Price,Deliver_Charges,Seller_Rating,Shipping_Timing_Rating,Discount_Percentage,Original_Price,Chat_Responce_Rate
Manipulation by Arthur best selling book,No Ratings,Rs. 299,Rs. 99,80%,100%,-40%,Rs. 499,97%
"Cambridge O Level Physics by Heather Kennett, Tom Duncan (Hooder Education)",No Ratings,"Rs. 2,195",Free,90%,90%,-56%,"Rs. 4,999",98%
Little Women (Puffin Classics) Paperback by Louisa May Alcott Paperback Pages 368,3 Ratings,Rs. 350,Free,86%,100%,-79%,"Rs. 1,699",100%
Best Quality Books In Affordable Price,No Ratings,Rs. 399,Free,82%,100%,-60%,Rs. 999,91%
Atomic Habits Book by James Clear,3 Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 995,100%
The Essential Rumi Book by Rumi,2 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
They Both Die at the End by Adam_Silvera,34 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
The American RoommateExperiment by Elena Armas,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
Books Set by Austin Kleon,No Ratings,Rs. 939,Free,87%,100%,-77%,"Rs. 3,999",100%
Five Survive by Holly Jackson,No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Anne of Green Gables by L.M. Montgomery,No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
The Inheritance Games Book by Jennifer Lynn Barnes,39 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Haasil /La Haasil Novel by Umaira Ahmed,5 Ratings,Rs. 789,Rs. 139,74%,90%,-28%,"Rs. 1,099",97%
Me Before You Novel by Jojo Moyes,4 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Twisted Love : : An Intense Romantic Novel by the Sensational Writer Ana Huang Good Quality Paper Premium Quality Paperback Title,1 Ratings,Rs. 365,Free,80%,100%,-63%,Rs. 999,83%
Simple Trading Book For Beginners And Advance Traders,18 Ratings,"Rs. 1,299",Free,84%,100%,-13%,"Rs. 1,499",100%
No God but God Book by Reza Aslan,No Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 995,100%
Hooked (Never After #1) by Emily McIntire,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
And Then There Were None by Agatha Christie,No Ratings,Rs. 350,Free,87%,100%,-79%,"Rs. 1,699",100%
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma by Bessel van der Kolk",No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
"Price Action Trading Secrets: Trading Strategies, Tools, and Techniques to Help You Become a Consistently Profitable Trader",2 Ratings,Rs. 619,Free,New Seller,100%,-52%,"Rs. 1,300",93%
Apni Talash By Qasim Ali Shah Apni Talaash Novel by Qasim Ali Shah Best selling urdu reading book,32 Ratings,Rs. 599,Free,89%,98%,Not Found,Not Found,99%
Treasure Island by Robert Louis Stevenson,No Ratings,Rs. 350,Free,87%,100%,-79%,"Rs. 1,699",100%
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals by Daniel Walter,No Ratings,Rs. 399,Free,86%,100%,-60%,Rs. 999,92%
"Fourth Wing (The Empyrean, #1) by Rebecca Yarros",2 Ratings,Rs. 494,Free,87%,100%,-75%,"Rs. 1,999",100%
Peer e Kamil by Umera Ahmed (Best Novel),5 Ratings,Rs. 645,Rs. 99,74%,90%,-57%,"Rs. 1,500",97%
Ghulam Abbas K Be-Masal Afsany,No Ratings,Rs. 700,Free,82%,100%,-53%,"Rs. 1,500",100%
Prayers of the Pious by Omar Suleiman,No Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Classical Mechanics 3rd Edition by Herbert Goldstein,1 Ratings,Rs. 695,Free,81%,100%,-54%,"Rs. 1,495",100%
Brida by Paulo Coelho,5 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Bitter Fruit: The Very Best of by Saadat Hasan Manto,5 Ratings,Rs. 599,Free,87%,100%,-70%,"Rs. 1,999",100%
Umera Ahmed Best Novel Peer e Kamil,3 Ratings,Rs. 639,Rs. 99,74%,90%,-57%,"Rs. 1,500",97%
"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich ( Combo Deal )",1 Ratings,Rs. 880,Free,86%,100%,-56%,"Rs. 1,999",100%
Think and Grow Rich by Napoleon Hill,33 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
My Fault By Mercedes Ron,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Dozakhnama Novel by Rabisankar Bal,No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Main Anmool By Nimra Ahmed | Best Novel |Urdu Reading Book | Most Selling Urdu Novel by Nimra Ahmed,No Ratings,Rs. 788,Rs. 99,74%,90%,-67%,"Rs. 2,400",97%
"Capture Me Series: (Capture Me , Bind Me , Claim Me) The Complete Trilogy by Anna Zaires",No Ratings,Rs. 950,Free,81%,100%,-79%,"Rs. 4,499",100%
No Longer Human by Osamu Dazai,No Ratings,Rs. 299,Free,90%,90%,-70%,Rs. 999,98%
Twisted Love : : An Intense Romantic Novel by the Sensational Writer Ana Huang Good Quality Paper Premium Quality Paperback Title,No Ratings,Rs. 325,Free,90%,90%,-67%,Rs. 999,98%
The Quick and Easy Way to Effective Speaking Book by Dale Carnegie,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
The Secret History by Donna Tartt,No Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
Harry Potter 1-3 Books Set: A Magical Adventure Begins Paperback by J K Rowling,1 Ratings,Rs. 950,Free,81%,100%,-76%,"Rs. 3,999",100%
Fantastic Mr Fox Novel by Roald Dahl,No Ratings,Rs. 299,Free,86%,100%,-50%,Rs. 599,92%
The Diary of a Young Girl by Anne Frank,9 Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Allah_Loves by Omar Suleiman,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Twisted Love Book by Ana Huang,5 Ratings,Rs. 420,Free,86%,75%,-52%,Rs. 880,95%
How to Be an Overnight Success by Maria Hatzistefanis,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
The Monk Who Sold His_Ferrari / Who Will Cry When You Die? /The Mastery Manual/ by Robin S. Sharma ( Combo Deal ),No Ratings,Rs. 950,Free,81%,100%,-79%,"Rs. 4,499",100%
Pride and Prejudice Novel by Jane Austen,No Ratings,Rs. 349,Free,69%,100%,-65%,Rs. 999,100%
Islam at War: A History by George F. Nafziger,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich pack of 3",No Ratings,Rs. 899,Free,90%,90%,-78%,"Rs. 3,999",98%
Amarbail complete By Umera Ahmed,No Ratings,"Rs. 1,045",Rs. 99,74%,90%,-58%,"Rs. 2,500",97%
One of Us Is Next By Karen M. McManus,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
An Outline Of Philosophy Book by Bertrand Russell,2 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
The Secret of Ages by Robert Collier Urdu Edition,3 Ratings,Rs. 500,Free,98%,98%,-38%,Rs. 800,100%
"Baharon ke sang sang novel,Urdu Novel",1 Ratings,"Rs. 1,200",Free,93%,95%,-40%,"Rs. 2,000",97%
a novel hopeless by Colleen Hoover,No Ratings,Rs. 295,Free,88%,100%,-70%,Rs. 996,86%
Yaqeen ka Safar Urdu Novel By Ferhat ishtiaq most selling Urdu novel,2 Ratings,Rs. 599,Rs. 99,80%,100%,-40%,"Rs. 1,000",97%
A Touch of Darkness Book by Scarlett St. Clair,No Ratings,Rs. 745,Free,83%,85%,-50%,"Rs. 1,500",100%
Man Chale ka sooda book By Ashfaq Ahmed,No Ratings,Rs. 699,Rs. 99,80%,100%,-42%,"Rs. 1,200",97%
How to Talk to Anyone Book by Leil Lowndes,No Ratings,Rs. 449,Free,86%,100%,-50%,Rs. 899,92%
Getting Over You leslie B,No Ratings,Rs. 285,Free,New Seller,100%,-71%,Rs. 999,83%
Guftago Aur Taqreer Ka Fun Urdu Translation novel by Dale Carnegie Best selling urdu reading book,6 Ratings,Rs. 355,Free,89%,98%,-1%,Rs. 359,99%
Jane Eyre by Charlotte Bronte,6 Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Write Better Speak Better Novel,No Ratings,Rs. 599,Free,90%,90%,-54%,"Rs. 1,299",98%
The Off Limits Rule by Sarah Adams,No Ratings,Rs. 399,Free,81%,100%,-77%,"Rs. 1,699",100%
"Rich Dad, Poor Dad by Robert T. Kiyosaki",23 Ratings,Rs. 319,Rs. 119,86%,100%,-68%,Rs. 999,Not enough data
Wonder by RJ palacio,No Ratings,Rs. 499,Free,86%,100%,-58%,"Rs. 1,199",92%
Who Will Cry When You Die? by Robin S Sharma,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Jaun Elia All Poetry Books (Lakin - Shayad - Goya -Gohman - Yaani ),12 Ratings,"Rs. 2,690",Free,90%,100%,-15%,"Rs. 3,150",100%
Verity Book by Colleen Hoover,21 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
"Things I Wanted to Say, But Never Did by Monica Murphy",No Ratings,Rs. 399,Free,82%,100%,-60%,Rs. 999,91%
Peer e kamil and Hurf se lafz tak Pack of 2 best urdu books,1 Ratings,Rs. 839,Rs. 99,80%,100%,-58%,"Rs. 2,000",97%
Sophie's World by Jostein Gaarder,5 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Pahari ka qaidi and Daana Paani novel by Nimra Ahmed most selling Urdu novel,3 Ratings,Rs. 799,Rs. 99,80%,100%,-47%,"Rs. 1,500",97%
A Good Girl Guide To Murder ( Novel ),1 Ratings,Rs. 325,Free,82%,100%,-67%,Rs. 999,91%
Haasil by umera Ahmed,4 Ratings,Rs. 379,Rs. 99,80%,100%,-46%,Rs. 700,97%
Nimra Ahmed Best N0vel Halim Part 1,1 Ratings,Rs. 948,Rs. 159,80%,100%,-57%,"Rs. 2,200",97%
Harry Potter and the Order of the Phoenix by J K. Rowling,No Ratings,Rs. 599,Free,81%,100%,-70%,"Rs. 1,999",100%
"DARK PSYCHOLOGY SECRETS & MANIPULATION TECHNIQUES: How to Be free from Covert mind control, psychopath abuse, and Influence people through Dark NLP, body language & Persuasion. Hypnosis & Self-help",3 Ratings,Rs. 299,Free,81%,100%,-70%,Rs. 995,100%
Simple Trading book Strategies & Trends Made All Market Trader's - Crypto strategies - forex market and Stock,No Ratings,Rs. 683,Free,New Seller,100%,-77%,"Rs. 2,999",Not enough data
Books Set by Brianna Wiest,10 Ratings,Rs. 611,Free,87%,100%,-80%,"Rs. 2,999",100%
When Breath Becomes Air by Paul Kalanithi,1 Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
One of Us Is Lying (One of Us Is Lying #1) by Karen M. McManus,1 Ratings,Rs. 350,Free,87%,100%,-79%,"Rs. 1,699",100%
The Witches Novel by Roald Dahl,1 Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
It Ends with Us It Starts with Us By Colleen Hoover ( Combo Deal ) 2 Book Set,2 Ratings,Rs. 539,Rs. 139,80%,100%,-46%,"Rs. 1,000",97%
Practice Makes Perfect: by Sarah Adams,No Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
Peer e Kamil By Umera Ahmed With Free Hurf Se Lafz Tak,3 Ratings,Rs. 849,Rs. 99,80%,100%,-58%,"Rs. 2,000",97%
John Elia All Poetry books Best reading Urdu Poetry book,3 Ratings,"Rs. 2,179",Rs. 99,74%,90%,-56%,"Rs. 4,999",97%
Harf Se Lafz Tak Complete Novel By Umera Ahmed,7 Ratings,Rs. 281,Free,87%,100%,-30%,Rs. 399,100%
AND THEN THERE WERE NONE,No Ratings,Rs. 289,Free,New Seller,100%,-52%,Rs. 599,83%
"5 lb. Book of GRE Practice Problems Problems on All Subjects, Includes 1,800 Test Questions and Drills, Online Study Guide and Lessons from Interact for GRE (Manhattan Prep 5 lb) Third Edition by Manhattan Prep (Author)",1 Ratings,"Rs. 3,099",Free,83%,85%,-23%,"Rs. 4,000",100%
Cambridge Ielts General Training 16 Books set With CD ( 1 TO 16),No Ratings,"Rs. 2,499",Free,86%,100%,-75%,"Rs. 9,999",92%
Manuscript Found in Accra by Paulo Coelho,No Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
Life Without Limits By Nick Vujicic,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Man’s Search for Meaning Book,No Ratings,Rs. 275,Free,86%,100%,-72%,Rs. 999,92%
Meeting Muhammad By Omar Suleiman,No Ratings,Rs. 399,Free,90%,90%,-60%,Rs. 999,98%
My Fault By Mercedes Ron,No Ratings,Rs. 399,Free,86%,100%,-60%,Rs. 999,92%
Pakistan A Hard Country Book by Anatol von Lieven,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Meeting Muhammad by Omar Suleiman,2 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Focus_Book by Daniel Goleman,No Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 995,100%
Sapiens: A Brief History of Humankind Book by Yuval Noah Harari,No Ratings,Rs. 395,Free,83%,85%,-34%,Rs. 600,100%
The Extraordinary Cases of Sherlock Holmes / The Great Adventures of Sherlock Holmes / The Hound of the Baskervilles Novel by Arthur Conan Doyle,1 Ratings,Rs. 939,Free,87%,100%,-77%,"Rs. 3,999",100%
Beyond Good and Evil by Friedrich Nietzsche,1 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
The Power Of Your Subconscious Mind,1 Ratings,Rs. 650,Free,New Seller,100%,-35%,"Rs. 1,000",100%
Rock Paper Scissors by Alice Feeney,3 Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Pakistan At the Helm by Tilak Devasher,1 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
The Ministry of Utmost Happiness Novel by Arundhati Roy,11 Ratings,Rs. 281,Free,87%,100%,-72%,Rs. 995,100%
Influence: The Psychology of Persuasion by Robert B. Cialdini,1 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
FAKEE Book by Robert Kiyosaki,No Ratings,Rs. 299,Free,86%,100%,-50%,Rs. 599,92%
"The Bomber_Mafia: A Dream, a Temptation, and the Longest Night of the Second World War By Malcolm Gladwell",No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
No Longer Human by Osamu Dazai,1 Ratings,Rs. 289,Free,90%,90%,-71%,Rs. 999,98%
Combo Set (Who Moved My Cheese & Think and Grow Rich),No Ratings,Rs. 599,Free,90%,90%,-70%,"Rs. 1,999",98%
Fangirl Novel by Rainbow Rowell,2 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
Reclaim Your Heart by Yasmin Mogahed ( Novel ),1 Ratings,Rs. 299,Free,82%,100%,-70%,Rs. 999,91%
Fantastic Mr. Fox By Roald Dahl,2 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
Cambridge English IELTS Academic 11 to 18 Books with Audio QR Code,No Ratings,"Rs. 1,295",Free,New Seller,100%,-68%,"Rs. 4,000",83%
Manipulation: Dark Psychology to Manipulate and Control People by Arthur Horn,2 Ratings,Rs. 299,Free,81%,100%,-70%,Rs. 995,100%
God of Malice: A Dark College Romance (Legacy of Gods Book 1) by Rina Kent,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
101 Chess Opening Traps book By Steve Giddin,No Ratings,Rs. 545,Free,86%,75%,-46%,"Rs. 1,000",95%
HYPER FOCUS Book BY CHRIS BHIALEY,No Ratings,Rs. 284,Rs. 99,74%,90%,-43%,Rs. 499,97%
DARK PHYCHOLOGY SECRET BEST SELLING book,No Ratings,Rs. 299,Rs. 99,74%,90%,-40%,Rs. 499,97%
The Strength in Our Scars Book by Bianca Sparacino,No Ratings,Rs. 299,Free,90%,90%,-70%,Rs. 999,98%
"How the Brain Lost Its Mind: Hysteria, and the Riddle of Mental Illness Allan H. Ropper , Brian Burrell",No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
My Fault by Mercedes Ron,1 Ratings,Rs. 399,Free,86%,100%,-69%,"Rs. 1,299",92%
Red Thorns: A Dark New Ad/ult Romance by Rina Kent,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
OUTLIERS The Story of Success,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
Patrus Ke Mazameen book most selling Urdu book,2 Ratings,Rs. 298,Rs. 99,80%,100%,-50%,Rs. 600,97%
Principles of Marketing 16th Edition by Kotler and Armstrong,No Ratings,Rs. 999,Free,81%,100%,-50%,"Rs. 1,999",100%
Sochye Aur Dolat Kamaiye (Think And Grow Rich) Urdu Book By Nepolian Hill,No Ratings,Rs. 299,Free,New Seller,100%,-70%,Rs. 999,83%
Chand Se Pehle Complete Novel By Umera Ahmed,3 Ratings,Rs. 277,Free,87%,100%,-44%,Rs. 495,100%
The BFG By Roald Dahl,1 Ratings,Rs. 445,Free,87%,100%,-78%,"Rs. 1,999",100%
CLOSER TO LOVE/THE FORTY RULESE OF LOVE SET OF 2 BOOKS,No Ratings,Rs. 599,Free,90%,90%,-70%,"Rs. 1,999",98%
The Girls Who Disappeared By Claire Douglas,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Emaan Umeed Or Mohabat By Umera Ahmed,No Ratings,Rs. 329,Rs. 159,74%,90%,-59%,Rs. 799,97%
The Hobbit (The Lord of the Rings #0) Book,4 Ratings,Rs. 399,Free,87%,100%,-78%,"Rs. 1,799",100%
Charlie and the Chocolate Factory By Roald Dahl,No Ratings,Rs. 399,Free,87%,100%,-78%,"Rs. 1,799",100%
Hazir Ghaib Novel By Azhar Kaleem best selling urdu reading book,6 Ratings,Rs. 612,Free,89%,98%,-1%,Rs. 619,99%
Great Expectations By Charles Dickens,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
The Top Five Regrets of the Dying by Bro/nnie Ware,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
The $100 Startup,No Ratings,Rs. 349,Free,86%,100%,-65%,Rs. 999,92%
40 on Justice / Angels in Your Presence / The Prophet of Mercy / Prayers of the Pious / Meeting Muhammad / Allah_Loves by Omar Suleiman,3 Ratings,"Rs. 1,879",Free,87%,100%,-62%,"Rs. 4,999",100%
Angels in Your Presence by Omar Suleiman,1 Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Good to Great: Why Some Companies Make the Leap... and Others Don't By James C. Collins,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Mushaf Novel by Nimra Ahmed,No Ratings,Rs. 398,Rs. 99,74%,90%,-60%,Rs. 999,97%
Umera Ahmed Novel Peer e Kamil (Original And New),No Ratings,Rs. 599,Rs. 139,80%,100%,-60%,"Rs. 1,500",97%
Amar Bail Novel By Umera Ahmed,1 Ratings,Rs. 939,Free,87%,100%,-69%,"Rs. 3,000",100%
Qaraqarm ka taj Mehal By Nimra Ahmed,2 Ratings,Rs. 299,Rs. 99,80%,100%,-63%,Rs. 800,97%
"Red, White & Royal Blue by Casey McQuiston",No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Al chemist a Novel by Paulo Coelho Urdu Edition,9 Ratings,Rs. 333,Free,91%,100%,Not Found,Not Found,100%
Kaizen By Sarah Harvey,No Ratings,Rs. 399,Free,81%,100%,-77%,"Rs. 1,699",100%
The Zahir by Paulo Coelho,7 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
Fact and Fiction Book by Bertrand Russell,No Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
Quiet: The Power of Introverts in a World That Can't Stop Talking by Susan Cain,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
They Both Die at the End by Adam_Silvera,6 Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 999,100%
Boy: Tales of Childhood By Roald Dahl,3 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
Pakistan A Hard Country Book by Anatol von Lieven,8 Ratings,Rs. 469,Free,87%,100%,-77%,"Rs. 1,999",100%
Diary of a _Wimpy Kid: Big Shot (Book 16) Excellent Quality white pages,No Ratings,Rs. 299,Free,86%,100%,-67%,Rs. 899,92%
Me Before You Novel by Jojo Moyes,No Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 995,100%
The 4 hour work week Novel,No Ratings,Rs. 365,Free,86%,100%,-39%,Rs. 599,92%
The Winning Attitude Book by Jeff Keller,4 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
The Darkest Temptation,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics (Politics of Place #1) by Tim Marshall,3 Ratings,Rs. 346,Free,87%,100%,-80%,"Rs. 1,699",100%
The Seven Husbands of Evelyn Hugo Novel by Taylor Jenkins Reid,1 Ratings,Rs. 399,Free,New Seller,89%,-56%,Rs. 899,100%
The Phycology Of Money By Morgan Housel,No Ratings,Rs. 248,Rs. 99,80%,100%,-59%,Rs. 600,97%
A Little Life by Hanya Yanagihara,No Ratings,Rs. 593,Free,87%,100%,-70%,"Rs. 1,999",100%
"Freedom at Midnight By Larry Collins, Dominique Lapierre",No Ratings,Rs. 680,Free,87%,100%,-66%,"Rs. 1,999",100%
BELIEVE ME (TAHEREH MAFI),No Ratings,Rs. 325,Free,New Seller,100%,-67%,Rs. 999,83%
Does It Hurt? By H.D CARLTON ( Novel ),No Ratings,Rs. 349,Free,82%,100%,-65%,Rs. 999,91%
The Fault in Our Stars Novel by John Green,22 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
The Siege of Mecca by Yaroslav Trofimov,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
thinking fast and slow by daniel kahneman,No Ratings,Rs. 399,Free,86%,100%,-56%,Rs. 899,92%
O level The History And culture Of Pakistan student book by nigel Kelly,No Ratings,"Rs. 1,299",Free,82%,100%,-68%,"Rs. 3,999",91%
Discover Your Destiny by Robin S Sharma,No Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Sagar Siddiqui Book:Pack Of Two,4 Ratings,Rs. 220,Rs. 99,80%,100%,-45%,Rs. 400,97%
The Making of a Manager: What to Do When Everyone Looks to You by Julie Zhuo,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
Oliver Twist By Charles Dickens,1 Ratings,Rs. 395,Free,87%,100%,-78%,"Rs. 1,799",100%
Raja Gidh Hurf se lafz tak (Pack of 2) Best selling Urdu Rading books,1 Ratings,Rs. 898,Rs. 99,74%,90%,-40%,"Rs. 1,500",97%
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals by Daniel Walter,2 Ratings,Rs. 405,Free,87%,100%,-77%,"Rs. 1,799",100%
A Thousand Splendid Suns Novel by Khaled Hosseini,3 Ratings,Rs. 445,Free,87%,100%,-78%,"Rs. 1,999",100%
Will Power Doesn't Work Entrepreneurship_Motivation_Local Self Help_Learning_Education_Local Literature_English Literature,No Ratings,Rs. 348,Free,86%,100%,-65%,Rs. 999,92%
The First To Die At The End,No Ratings,Rs. 339,Free,86%,100%,-66%,Rs. 999,92%
Haalim both Parts And Namal by Nimra Ahmed best selling Urdu reading book,No Ratings,"Rs. 3,398",Rs. 99,74%,90%,-58%,"Rs. 7,999",97%
Alif By Umera Ahmed,No Ratings,Rs. 789,Rs. 139,80%,100%,-47%,"Rs. 1,499",97%
THE MUQADDIMAH BOOK,No Ratings,Rs. 499,Free,86%,100%,-50%,Rs. 999,92%
The Predator (Dark Verse #1) by RuNyx,2 Ratings,Rs. 450,Free,87%,100%,-75%,"Rs. 1,799",100%
The Book Thief By Markus Zusak,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Talking to Strangers Book by Malcolm Gladwell,1 Ratings,Rs. 371,Free,87%,100%,-79%,"Rs. 1,799",100%
The Outsider by Albert Camus,12 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
As Good As Dead by Holly Jackson,No Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Books Set by Alex Michaelides,3 Ratings,Rs. 563,Free,87%,100%,-72%,"Rs. 1,999",100%
"Inside the Soul of Islam: A Unique View into the Love, Beauty and Wisdom of Islam for Spiritual Seekers of All Faiths By Mamoon Yusaf",No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Allah_Loves by Omar Suleiman,5 Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
The 48 Laws of Power by Robert Greene,1 Ratings,Rs. 399,Free,90%,90%,-60%,Rs. 999,98%
THINGS WE NEVER GOT OVER BY LOCY SCORE,No Ratings,Rs. 284,Rs. 99,80%,100%,-43%,Rs. 499,97%
The Housemaid By Freida McFadden,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
RAB SE JURNE ka Safar BY UME E HURERA,1 Ratings,Rs. 729,Rs. 99,74%,93%,-44%,"Rs. 1,299",97%
Verity by Collen Hoover (Novel),No Ratings,Rs. 275,Free,90%,90%,-72%,Rs. 999,98%
Can't Hurt Me by David Goggins,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
The Girl on the Train Novel by Paula Hawkins,2 Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Like the Flowing River Book by Paulo Coelho,7 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Attitude Is Everything: Change Your Attitude ... Change Your Life! + The Alchemist (Set of 2 Books),No Ratings,Rs. 599,Free,New Seller,100%,-70%,"Rs. 1,999",83%
The Last Lecture Book by Jeffrey Zaslow and Randy Pausch,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
How to Stop Worrying and Start Living Book by Dale Carnegie,No Ratings,Rs. 299,Free,81%,100%,-70%,Rs. 999,100%
Strengths Finder 2.0 by Tom Rath,No Ratings,Rs. 799,Rs. 99,New Seller,100%,-63%,"Rs. 2,150",100%
"Danielle Lori Made Book Series (The Sweetest Oblivion, Maddest obsession, Darkest Temptation) (White Print)",No Ratings,"Rs. 1,035",Free,87%,100%,-65%,"Rs. 2,999",100%
